,Team,Game_Id,EV_xGF,EV_xGA,EV_GF,EV_GA,EV_TOI,xGF/60,xGA/60,xGF%
0,BOS,210798,14.437509551710885,16.04990953509351,13,16,355.8333333333333,2.434427840101133,2.706307930975955,0.47355630565526446
1,CAR,453166,41.3737417539422,34.83298237102945,32,28,844.93333,2.9380122870008356,2.4735430217455945,0.542914581738132
2,COL,211078,15.808859879500222,14.966047640773457,13,14,356.15,2.663292412663241,2.521305232195444,0.5136931725655316
3,DAL,574560,43.650142625386955,37.63835562624862,37,46,1020.1499999966667,2.5672779076917855,2.2136953757607176,0.5369780911718183
4,EDM,362562,28.851695156902807,26.583804744806926,24,29,613.1666666666666,2.8232156174191387,2.6012964686410696,0.5204552174700054
5,FLA,635178,49.28856067405666,57.9960104437279,42,43,1163.1,2.5426133956180896,2.9917983205430954,0.4594189095461285
6,L.A,181101,15.394712962022846,16.644801341243827,12,15,326.35,2.8303440408192757,3.0601749056982674,0.48049145865027165
7,MIN,180981,11.582913547161848,12.110062091092727,9,9,318.48333333,2.182138718416405,2.2814497633779953,0.4888754255273925
8,N.J,362123,29.483781767019522,25.83622553804888,17,29,617.4833333333333,2.8648982256274196,2.510470240410698,0.5329677851347324
9,NYI,180801,12.897729500712845,14.824287976448304,12,10,303.03333,2.553724931982798,2.9351796998267425,0.4652521957082911
10,NYR,211008,12.916972771869034,17.805866709968534,11,7,349.41666666666663,2.218034914320464,3.0575301767654057,0.4204355127886264
11,SEA,422716,26.952994524268412,34.70426120539194,33,33,737.6166666666667,2.192439168659563,2.8229509532822146,0.43714229907418045
12,T.B,180741,14.174039051169519,13.131685070227823,15,14,325.7,2.611121716518794,2.4191007191085947,0.5190867302457818
13,TOR,331806,28.0323893612949,25.70691935368812,22,25,609.0166666666667,2.761736178557282,2.532632102933068,0.5216365828219001
14,VGK,666332,52.4605602091178,45.97172861208671,68,33,1138.7333333333333,2.764153397822494,2.42225605941561,0.5329608895350265
15,WPG,150865,9.67172256484627,12.175377641106019,6,15,281.6,2.0607363419416767,2.5941855769402027,0.44270051739915534
